name,application_id,unique_ci_identifier,environment,ci_regions,class,category,subcategory,manufacturer,ci_criticality,operational_status,owning_company_sector,support_group,support_group_2,support_group_3,ci_short_description,knowledge_number,knowledge_base,knowledge_domain,author,source,parent_article,language,version,confidence,workflow_state,published,valid_to,description,meta_description,knowledge_short_description,incident_resolution_sub_code,incident_resolution_code,incident_resolution_category,dv_kb_issue,dv_kb_cause,uuid
Name_1,3110,CI_1,Staging,Europe,Server,Hardware,Backup,Manufacturer_7,Low,Decommissioned,Manufacturing,Support_Group_3,Support_Group_3,Support_Group_4,Description of CI 1,KN_303,kQhXj,Domain_3,Author_1,Source_3,Parent_3,Spanish,4,0.7,Published,TRUE,31-12-2024,Description for article 1,Meta description for 1,Short desc for knowledge 1,Sub_Code_10,Resolution_6,Hardware,Issue_4,Cause_7,95162cca-6d20-4b3a-8c2f-25e99832ff7d
Name_2,3626,CI_2,Production,Europe,Server,Service,Networking,Manufacturer_3,Medium,Under Maintenance,Retail,Support_Group_1,Support_Group_5,Support_Group_5,Description of CI 2,KN_381,lbqGX,Domain_3,Author_2,Source_5,Parent_2,English,1,0.6,Published,FALSE,31-12-2023,Description for article 2,Meta description for 2,Short desc for knowledge 2,Sub_Code_10,Resolution_4,Software,Issue_4,Cause_4,f5433f47-b13c-4717-a490-d601b90b0336
Name_3,6604,CI_3,Staging,Australia,Storage,Service,Networking,Manufacturer_6,Medium,Decommissioned,Finance,Support_Group_2,Support_Group_3,Support_Group_4,Description of CI 3,KN_259,PAzUg,Domain_5,Author_3,Source_3,Parent_2,Spanish,4,0.79,Review,TRUE,31-12-2025,Description for article 3,Meta description for 3,Short desc for knowledge 3,Sub_Code_5,Resolution_1,Hardware,Issue_4,Cause_9,2671018c-8ef9-4f1c-be15-9ac10de7a4b6
Name_4,7583,CI_4,Development,Europe,Storage,Hardware,Storage,Manufacturer_8,Critical,Under Maintenance,Finance,Support_Group_4,Support_Group_4,Support_Group_1,Description of CI 4,KN_276,rQNqk,Domain_2,Author_4,Source_3,Parent_3,Japanese,3,0.8,Published,FALSE,31-12-2025,Description for article 4,Meta description for 4,Short desc for knowledge 4,Sub_Code_9,Resolution_4,Software,Issue_4,Cause_10,45b41891-00e9-4155-a9e4-2262e24eea9f
Name_5,5922,CI_5,Development,Australia,Server,Hardware,Compute,Manufacturer_5,High,Decommissioned,Retail,Support_Group_5,Support_Group_3,Support_Group_2,Description of CI 5,KN_898,fgNWS,Domain_5,Author_5,Source_1,Parent_1,Japanese,1,0.97,Review,TRUE,31-12-2024,Description for article 5,Meta description for 5,Short desc for knowledge 5,Sub_Code_5,Resolution_2,Software,Issue_9,Cause_8,8ebaa9f1-5000-456b-bd6f-7e9bf28cbe23
Name_6,8418,CI_6,Development,Asia,Storage,Software,Storage,Manufacturer_4,Critical,Operational,Technology,Support_Group_3,Support_Group_1,Support_Group_1,Description of CI 6,KN_736,OuEKS,Domain_5,Author_6,Source_3,Parent_2,German,1,0.77,Review,TRUE,31-12-2025,Description for article 6,Meta description for 6,Short desc for knowledge 6,Sub_Code_10,Resolution_1,Service,Issue_7,Cause_5,cf39e7ee-4c25-4f3c-a5c0-827e5951014d
Name_7,5050,CI_7,Development,North America,Network,Hardware,Security,Manufacturer_2,Low,Under Maintenance,Retail,Support_Group_3,Support_Group_4,Support_Group_5,Description of CI 7,KN_849,HYjwZ,Domain_3,Author_7,Source_4,Parent_1,French,3,0.56,Draft,TRUE,31-12-2024,Description for article 7,Meta description for 7,Short desc for knowledge 7,Sub_Code_3,Resolution_8,Software,Issue_2,Cause_3,86c3eac7-6d00-43d9-9af2-f29636b364f8
Name_8,6289,CI_8,Production,North America,Application,Software,Networking,Manufacturer_10,High,Decommissioned,Technology,Support_Group_3,Support_Group_4,Support_Group_4,Description of CI 8,KN_310,pbGpU,Domain_2,Author_8,Source_5,Parent_1,Japanese,1,0.82,Review,FALSE,31-12-2025,Description for article 8,Meta description for 8,Short desc for knowledge 8,Sub_Code_7,Resolution_2,Service,Issue_1,Cause_6,755583c3-934e-432a-9a7e-f9ee92f2729e
Name_9,1359,CI_9,Production,North America,Database,Service,Backup,Manufacturer_9,High,Decommissioned,Retail,Support_Group_3,Support_Group_3,Support_Group_2,Description of CI 9,KN_120,nZRXv,Domain_5,Author_9,Source_5,Parent_1,Japanese,5,0.93,Draft,FALSE,31-12-2023,Description for article 9,Meta description for 9,Short desc for knowledge 9,Sub_Code_6,Resolution_7,Service,Issue_9,Cause_9,ba6425e3-02d5-4ef3-ba36-28adf68d82ab
Name_10,2585,CI_10,Staging,Europe,Server,Software,Backup,Manufacturer_9,Medium,Decommissioned,Retail,Support_Group_3,Support_Group_1,Support_Group_1,Description of CI 10,KN_880,zlpJh,Domain_5,Author_10,Source_3,Parent_1,Japanese,5,0.76,Draft,FALSE,31-12-2025,Description for article 10,Meta description for 10,Short desc for knowledge 10,Sub_Code_5,Resolution_4,Software,Issue_6,Cause_6,73bc9649-c739-4c85-a3ba-1f8cd93614cb
